1028852	64
1098595	392
1036740	120
1025477	475
1052094	128
1005812	149
1021402	378
1024272	109
1099096	198
1006288	242
1098750	157
1026478	165
1001862	238
1032444	379
1028603	40
1028358	333
1044871	116
1013424	182
1018262	124
1006149	180
1017511	453
1018269	125
1007168	177
1008873	370
1006067	298
1014733	210
1033340	179
1034801	7
1004364	373
1029489	247
1002389	357
1020268	481
1028073	428
1004712	189
1004247	1
1011104	186
1083194	45
1041557	352
1009184	183
1029091	380
1036563	146
1009954	117
1007098	121
1021992	197
1009214	138
1004568	78
1020313	441
1003972	423
1009352	261
1027883	155
1012920	231
1031494	129
1022226	187
1012884	111
1097498	435
1011512	365
1044498	61
1040071	402
1028639	305
1030760	158
1098650	94
1004878	91
1000656	458
1025801	221
1045525	203
1021527	139
1037490	41
1098109	230
1049360	147
1019547	63
1020036	166
1097564	450
1028153	126
1028255	414
1028521	291
1025115	88
1033300	14
1008776	245
1029127	473
1021357	18
1043833	185
1026260	375
1000012	366
1008023	476
1025892	381
1023631	211
1014252	42
1018130	253
1026015	452
1009850	122
1018139	254
1018138	255
1021186	404
1003574	154
1042272	262
1027263	162
1014312	171
1021815	193
1010309	256
1026882	374
1017555	89
1008099	382
1017559	90
1045704	234
1001301	66
1032111	218
1000905	274
1064645	239
1002476	400
1011846	172
1011848	173
1007275	295
1045024	415
1009545	276
1045021	416
1098329	199
1048335	232
1041052	310
1012285	32
1021928	54
1097613	317
1003846	65
1039877	268
1024565	299
1012859	387
1020778	67
1006971	346
1014426	393
1006978	347
1041884	362
1098588	260
1041735	55
1027938	405
1098032	263
1030933	296
1010122	324
1013025	383
1018350	363
1029761	417
1047662	123
1016852	436
1017354	6
1019456	334
1028205	257
1037698	406
1047130	98
1044862	15
1019512	356
1045696	316
1033451	160
1018178	350
1029019	134
1017031	174
1029013	135
1007939	367
1021912	454
1006016	214
1021286	466
1053407	53
1017240	424
1021300	289
1022601	181
1002960	241
1031044	403
1062104	464
1004976	451
1026044	119
1000276	457
1007331	73
1005580	412
1012481	322
1008412	49
1027333	79
1023356	335
1018076	251
1020326	339
1024523	140
1001236	80
1024526	444
1016885	418
1024130	127
1035926	178
1014463	19
1007206	95
1044366	57
1026581	443
1001624	395
1023509	219
1068684	248
1046217	368
1044487	330
1097504	2
1058980	345
1097508	3
1032224	353
1005909	306
1002183	8
1037847	336
1001527	99
1010797	408
1027798	31
1030683	277
1029728	46
1018417	236
1002815	215
1098270	163
1020742	205
1022925	265
1009400	81
1097579	354
1009158	390
1027386	58
1008667	286
1037731	161
1017819	142
1042768	212
1007117	141
1013492	321
1003063	86
1002766	82
1010542	284
1053686	235
1019857	9
1013119	20
1021466	62
1025213	462
1036736	151
1029753	191
1021142	267
1016599	425
1025776	376
1032135	409
1026007	68
1003408	429
1015787	290
1006545	150
1081608	43
1040742	384
1014091	33
1098099	195
1032861	278
1024639	455
1001700	159
1026856	83
1022297	315
1008877	371
1000264	377
1023542	110
1004947	223
1020524	279
1000861	167
1044605	87
1098953	258
1005017	224
1030710	144
1053653	216
1024670	5
1048943	300
1009453	348
1005605	442
1002990	213
1017979	364
1018861	437
1006860	328
1012903	426
1097970	100
1022808	34
1030037	477
1010722	391
1002542	176
1030666	206
1003229	448
1029833	369
