415,The-Clash,Queens-Of-The-Stone-Age,Flogging-Molly
577,Pink-Floyd,The-Beatles,Led-Zeppelin
277,Pearl-Jam,Rage-Against-The-Machine,Tool
61,Evanescence,Coldplay,Barenaked-Ladies
194,Primus,Jimi-Hendrix-Experience,Pink-Floyd
198,Marvin-Gaye,Billy-Joel,Genesis
428,Audioslave,Beck,Rage-Against-The-Machine
299,Van-Halen,Led-Zeppelin,AC/DC
539,Marvin-Gaye,Dido,Luther-Vandross
112,The-Beatles,Creedence-Clearwater-Revival,Lynyrd-Skynyrd
174,Outkast,Nirvana,Rage-Against-The-Machine
53,Veruca-Salt,Linkin-Park,Faith-No-More
127,Elton-John,Aerosmith,Toad-The-Wet-Sprocket
161,Counting-Crows,Garbage,Evanescence
510,Led-Zeppelin,Pink-Floyd,The-Police
460,Aerosmith,Journey,Poison
232,Anita-Baker,The-Monkees,Janet-Jackson
23,Pink-Floyd,Nirvana,Led-Zeppelin
512,R.E.M.,Smashing-Pumpkins,Garbage
22,Linkin-Park,Godsmack,Matchbox-Twenty
575,Outkast,Eminem,LL-Cool-J
342,Eminem,Outkast,Destiny's-Child
178,Staind,Incubus,Godsmack
117,Foo-Fighters,Live,Weezer
199,Billy-Joel,Eagles,Tom-Petty
601,The-Verve,Radiohead,The-Police
67,Creedence-Clearwater-Revival,Tom-Petty,The-Police
168,The-Beatles,Pink-Floyd,The-Rolling-Stones
129,Nirvana,U2,Weezer
360,Eminem,Fabolous,Snoop-Dogg
85,Guns-N'-Roses,Metallica,Poison
46,Linkin-Park,Incubus,Godsmack
222,Metallica,Guns-N'-Roses,Van-Halen
148,Aerosmith,Van-Halen,Guns-N'-Roses
552,Weezer,Pearl-Jam,Pink-Floyd
455,The-Beatles,Marvin-Gaye,Stevie-Wonder
487,Puddle-Of-Mudd,Metallica,Disturbed
151,Billy-Joel,Foreigner,Crosby
167,Pink-Floyd,The-Cure,Pearl-Jam
351,Dido,The-Cranberries,Sarah-McLachlan
378,Luther-Vandross,LeAnn-Rimes,Prince
582,Nirvana,Tool,Foo-Fighters
550,3-Doors-Down,Linkin-Park,Korn
159,U2,Elton-John,Billy-Joel
418,Eminem,Linkin-Park,U2
172,Counting-Crows,Weezer,Garbage
120,The-Beatles,Led-Zeppelin,Tom-Petty
280,Van-Halen,Led-Zeppelin,Metallica
555,The-Beatles,Pink-Floyd,Weezer
531,Tom-Petty,Led-Zeppelin,Billy-Joel
245,Guns-N'-Roses,Primus,Metallica
210,Dido,The-Cranberries,Faith-Hill
303,Aerosmith,Eric-Clapton,Tom-Petty
548,Ludacris,Sean-Paul,50-Cent
26,Van-Halen,Metallica,AC/DC
572,U2,R.E.M.,Garbage
525,U2,Coldplay,R.E.M.
542,U2,No-Doubt,The-Police
